City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
326,tralee,52.2693,-9.7054,12.12,78,98,1.69,IE,0
327,shingu,33.7241,135.993,21.55,70,97,1.66,JP,32400
328,gueltat zemmour,25.1488,-12.3695,22.12,26,100,3.33,MR,3600
329,hafar al-batin,28.4328,45.9628,21.32,88,0,3.09,SA,10800
330,roma,41.8933,12.4829,14.2,70,0,2.06,IT,3600
331,saint-joseph,49.5345,-1.5298,9.31,100,100,2.57,FR,3600
332,weno,7.4401,151.857,30.47,84,75,4.12,FM,36000
333,lebu,-37.61,-73.6559,10.03,88,12,3.34,CL,-10800
334,guerrero negro,27.971,-114.0364,17.95,59,75,7.51,MX,-25200
335,kaihua,29.1399,118.4108,21.13,66,100,1.42,CN,28800
336,baijiantan,45.6342,85.2608,7.1,73,53,3.24,CN,28800
337,djambala,-2.5463,14.7558,20.41,93,100,0.51,CG,3600
338,mejit,10.2843,170.8699,26.57,80,100,1.77,MH,43200
339,mildenhall,52.3456,0.5128,10.98,86,100,2.06,GB,0
340,cabo san lucas,22.8939,-109.9201,22.53,62,20,7.2,MX,-25200
341,viljandi,58.3645,25.5878,2.1,71,87,5.51,EE,7200
342,toamasina,-18.1554,49.4098,22.99,94,75,2.06,MG,10800
343,laayoune,27.1545,-13.1954,18.0,100,100,2.57,EH,3600
344,pathein,16.7833,94.7333,26.96,80,71,2.49,MM,23400
345,howard springs,-12.497,131.047,31.6,69,14,2.03,AU,34200
346,ciudad lazaro cardenas,17.9595,-102.1987,26.71,79,19,1.13,MX,-21600
347,pouzauges,46.7831,-0.8361,9.27,89,52,2.1,FR,3600
348,iskateley,67.6762,53.1292,-1.66,81,99,6.97,RU,10800
349,petropavlovsk-kamchatsky,53.02,158.6471,3.06,45,82,5.23,RU,43200
350,hatillo,9.9188,-84.1031,19.64,96,75,1.03,CR,-21600
351,jalalaqsi,3.3872,45.5936,23.99,86,89,2.79,SO,10800
352,luena,43.1118,-3.907,9.27,85,0,2.95,ES,3600
353,udachny,66.4118,112.2517,-26.97,99,59,2.56,RU,32400
354,metro,-5.1079,105.3079,27.7,72,99,2.89,ID,25200
355,kayes,14.4434,-11.4379,28.91,22,71,0.93,ML,0
356,tazacorte,28.6429,-17.9326,21.38,56,0,3.09,ES,0
357,luderitz,-26.65,15.1573,14.97,68,89,9.95,NA,7200
358,evanston,42.0447,-87.693,17.2,80,100,5.66,US,-21600
359,konongo,6.6231,-1.2148,23.02,93,92,0.93,GH,0
360,dajal,29.5563,70.3797,23.18,25,0,2.79,PK,18000
361,antofagasta,-23.6464,-70.398,16.66,81,46,2.03,CL,-10800
362,taishan,22.0638,112.7129,27.2,60,11,3.59,CN,28800
363,coyhaique,-45.5712,-72.0685,3.98,99,100,1.92,CL,-10800
364,castillos,-34.2003,-53.8608,18.01,92,100,5.04,UY,-10800
365,tadine,-21.5483,167.8823,25.39,58,100,5.45,NC,39600
366,bubaque,11.2997,-15.8335,28.17,74,98,3.61,GW,0
367,krasnozavodsk,56.4405,38.2443,-1.71,96,100,3.59,RU,10800
368,kanel,15.491,-13.1757,30.18,28,100,2.81,SN,0
369,pagar alam,-4.021,103.2502,21.02,98,100,0.79,ID,25200
370,edson,53.5859,-116.4428,3.04,52,0,2.57,CA,-25200
371,greymouth,-42.4499,171.208,11.88,63,99,2.01,NZ,46800
372,pushchino,54.8347,37.614,-0.59,96,100,6.16,RU,10800
373,mckinleyville,40.9465,-124.1006,12.11,81,0,3.6,US,-28800
374,al kharijah,15.3595,44.2167,11.61,39,5,0.94,YE,10800
375,orkney,59.0133,-3.2312,10.08,91,100,4.02,GB,0
376,gulf shores,30.2711,-87.6894,25.01,78,0,4.63,US,-21600
377,shihezi,44.3017,86.0776,6.74,63,100,1.77,CN,28800
378,greater sudbury,46.4927,-80.9912,3.92,87,100,1.79,CA,-18000
379,mogadishu,2.0349,45.3419,26.15,81,14,3.47,SO,10800
380,coquimbo,-29.9532,-71.338,12.93,80,0,1.54,CL,-10800
381,kirakira,-10.4569,161.9202,29.57,76,49,3.22,SB,39600
382,flin flon,54.7698,-101.879,3.34,85,86,2.49,CA,-21600
383,lichuan,30.2937,108.9323,13.18,95,100,1.39,CN,28800
384,touros,-5.1999,-35.4595,24.7,78,93,6.45,BR,-10800
385,ust'-kulom,61.6848,53.6899,-1.62,78,100,6.16,RU,10800
386,mili,37.5536,22.7169,15.36,74,98,1.59,GR,7200
387,guiping,23.3916,110.0741,21.65,74,100,1.88,CN,28800
388,hagere selam,13.6497,39.1729,10.16,56,5,2.34,ET,10800
389,mossel bay,-34.1832,22.1536,13.06,75,100,8.55,ZA,7200
390,nadym,65.5336,72.5114,-3.82,95,100,9.57,RU,18000
391,puerto san carlos,-12.6608,-63.55,24.16,91,98,1.49,BR,-14400
392,yanta,34.224,108.9442,15.77,57,100,2.29,CN,28800
393,ghanzi,-21.6968,21.6457,22.73,29,14,1.45,BW,7200
394,isangel,-19.5411,169.2811,26.57,74,75,5.14,VU,39600
395,sosnogorsk,63.5895,53.9306,-0.87,72,100,6.58,RU,10800
396,moose jaw,50.4015,-105.5429,1.11,80,100,6.17,CA,-21600
397,jayapura,-2.5388,140.7037,33.34,72,100,2.7,ID,32400
398,mersa matruh,31.3529,27.2395,20.97,67,0,5.92,EG,7200
399,campbellton,49.2776,-54.9227,0.18,73,80,4.89,CA,-12600
400,mhamid,30.1284,-6.8834,19.55,27,100,1.34,MA,3600
401,galeana,24.8251,-100.0768,16.88,50,54,0.86,MX,-21600
402,bodo,67.2844,14.3817,4.36,78,100,7.2,NO,3600
403,nyurba,63.2866,118.3541,-19.66,98,71,0.81,RU,32400
404,floro,61.6003,5.035,7.98,100,100,4.63,NO,3600
405,berezovo,63.9352,65.0536,-3.11,97,100,2.81,RU,18000
406,pierre,44.3684,-100.3511,11.51,100,100,2.06,US,-21600
407,sosnovo-ozerskoye,52.5286,111.5381,-7.31,59,77,5.03,RU,28800
408,el porvenir,15.4575,-92.2803,8.12,96,93,0.57,MX,-21600
409,yibin,28.7702,104.629,16.89,89,100,1.4,CN,28800
410,la sarre,48.8001,-79.201,0.35,92,100,2.81,CA,-18000
